200
-0.58766 0.52139 1 100
-0.57426 0.51601 0 2 101
-0.55701 0.50918 1 3 102
-0.53715 0.50154 2 4 103
-0.51524 0.49335 3 5 104
-0.49161 0.48476 4 6 105
-0.46650 0.47586 5 7 106
-0.44005 0.46672 6 8 107
-0.41238 0.45740 7 9 108
-0.38356 0.44795 8 10 109
-0.35367 0.43842 9 11 110
-0.32275 0.42885 10 12 111
-0.29081 0.41929 11 13 112
-0.25786 0.40980 12 14 113
-0.22390 0.40045 13 15 114
-0.18889 0.39139 14 16 115
-0.15295 0.38450 15 17 116
-0.11767 0.37906 16 18 117
-0.08297 0.37522 17 19 118
-0.04900 0.37317 18 20 119
-0.01594 0.37314 19 21 120
0.01592 0.37551 20 22 121
0.04620 0.38092 21 23 122
0.07464 0.38971 22 24 123
0.10095 0.40182 23 25 124
0.12473 0.41706 24 26 125
0.14551 0.43513 25 27 126
0.16276 0.45562 26 28 127
0.17577 0.47814 27 29 128
0.18380 0.50208 28 30 129
0.18613 0.52654 29 31 130
0.18225 0.55025 30 32 131
0.17214 0.57157 31 33 132
0.15617 0.58857 32 34 133
0.13544 0.60005 33 35 134
0.11149 0.60607 34 36 135
0.08611 0.60688 35 37 136
0.06002 0.60289 36 38 137
0.03425 0.59446 37 39 138
0.00880 0.58178 38 40 139
-0.01570 0.56552 39 41 140
-0.03926 0.54589 40 42 141
-0.06155 0.52345 41 43 142
-0.08273 0.49825 42 44 143
-0.10268 0.47073 43 45 144
-0.12166 0.44110 44 46 145
-0.13957 0.40957 45 47 146
-0.15677 0.37642 46 48 147
-0.16937 0.34070 47 49 148
-0.18108 0.30523 48 50 149
-0.19143 0.26972 49 51 150
-0.20019 0.23414 50 52 151
-0.20723 0.19852 51 53 152
-0.21241 0.16284 52 54 153
-0.21561 0.12711 53 55 154
-0.21677 0.09138 54 56 155
-0.21588 0.05572 55 57 156
-0.21297 0.02020 56 58 157
-0.20806 -0.01510 57 59 158
-0.20124 -0.05011 58 60 159
-0.19260 -0.08475 59 61 160
-0.18224 -0.11897 60 62 161
-0.17027 -0.15271 61 63 162
-0.15680 -0.18593 62 64 163
-0.14193 -0.21859 63 65 164
-0.12578 -0.25065 64 66 165
-0.10843 -0.28210 65 67 166
-0.08999 -0.31292 66 68 167
-0.07053 -0.34309 67 69 168
-0.05016 -0.37261 68 70 169
-0.02894 -0.40148 69 71 170
-0.00695 -0.42969 70 72 171
0.01572 -0.45724 71 73 172
0.03902 -0.48415 72 74 173
0.06286 -0.51042 73 75 174
0.08719 -0.53606 74 76 175
0.11193 -0.56109 75 77 176
0.13702 -0.58552 76 78 177
0.16240 -0.60937 77 79 178
0.18800 -0.63267 78 80 179
0.21375 -0.65543 79 81 180
0.23959 -0.67768 80 82 181
0.26544 -0.69945 81 83 182
0.29125 -0.72077 82 84 183
0.31690 -0.74168 83 85 184
0.34237 -0.76219 84 86 185
0.36752 -0.78231 85 87 186
0.39232 -0.80209 86 88 187
0.41662 -0.82148 87 89 188
0.44042 -0.84051 88 90 189
0.46356 -0.85911 89 91 190
0.48602 -0.87730 90 92 191
0.50764 -0.89495 91 93 192
0.52841 -0.91208 92 94 193
0.54811 -0.92850 93 95 194
0.56670 -0.94418 94 96 195
0.58390 -0.95888 95 97 196
0.59950 -0.97246 96 98 197
0.61295 -0.98441 97 99 198
0.62339 -0.99384 98 199
-0.59063 0.51375 0 101
-0.57727 0.50821 1 100 102
-0.55995 0.50145 2 101 103
-0.54000 0.49390 3 102 104
-0.51800 0.48578 4 103 105
-0.49430 0.47724 5 104 106
-0.46910 0.46837 6 105 107
-0.44257 0.45925 7 106 108
-0.41482 0.44994 8 107 109
-0.38592 0.44049 9 108 110
-0.35595 0.43095 10 109 111
-0.32495 0.42136 11 110 112
-0.29294 0.41176 12 111 113
-0.25995 0.40218 13 112 114
-0.22598 0.39265 14 113 115
-0.19099 0.38307 15 114 116
-0.15478 0.37573 16 115 117
-0.12068 0.37211 17 116 118
-0.08706 0.36933 18 117 119
-0.05399 0.36841 19 118 120
-0.02174 0.37020 20 119 121
0.00951 0.37497 21 120 122
0.03955 0.38251 22 121 123
0.06795 0.39265 23 122 124
0.09425 0.40539 24 123 125
0.11795 0.42076 25 124 126
0.13856 0.43859 26 125 127
0.15558 0.45860 27 126 128
0.16836 0.48044 28 127 129
0.17620 0.50357 29 128 130
0.17843 0.52719 30 129 131
0.17457 0.55022 31 130 132
0.16465 0.57144 32 131 133
0.14933 0.58957 33 132 134
0.12967 0.60320 34 133 135
0.10666 0.61116 35 134 136
0.08169 0.61293 36 135 137
0.05566 0.60922 37 136 138
0.02964 0.60065 38 137 139
0.00392 0.58781 39 138 140
-0.02088 0.57128 40 139 141
-0.04475 0.55134 41 140 142
-0.06738 0.52844 42 141 143
-0.08884 0.50289 43 142 144
-0.10910 0.47494 44 143 145
-0.12814 0.44483 45 144 146
-0.14606 0.41280 46 145 147
-0.16270 0.37884 47 146 148
-0.17627 0.34362 48 147 149
-0.18826 0.30795 49 148 150
-0.19875 0.27216 50 149 151
-0.20764 0.23627 51 150 152
-0.21478 0.20028 52 151 153
-0.22002 0.16419 53 152 154
-0.22325 0.12803 54 153 155
-0.22444 0.09187 55 154 156
-0.22356 0.05579 56 155 157
-0.22064 0.01986 57 156 158
-0.21570 -0.01584 58 157 159
-0.20883 -0.05125 59 158 160
-0.20011 -0.08628 60 159 161
